post_id,post_text,rationale_count,annotator_1_label,annotator_1_target,annotator_2_label,annotator_2_target,annotator_3_label,annotator_3_target,label
19514409_gab,illegal aliens should just be called enemy combatants they have killed more americans than the sand n-word have in all of our wars over there daca,2,hatespeech,"Arab, Islam, Refugee",hatespeech,"Arab, Islam, Refugee",offensive,"Arab, Refugee",hatespeech
25610991_gab,works great on muzzies too,3,offensive,Islam,hatespeech,Islam,offensive,Islam,offensive
27834023_gab,these liberal women are literally paying a clothed man wearing a glove to finger them for <number> minute therapy sessions that not therapy that a sexual service and they have plans to expand to other major cities,2,offensive,Women,offensive,Women,normal,Women,offensive
1163018440312967168_twitter,these hoes are insane,2,offensive,Women,normal,,offensive,Women,offensive
19137501_gab,any muslims regardless of where they are is a danger to civilization these guys are lowkey cucks who like watching arabs gangrape their women,2,hatespeech,"Arab, Islam",offensive,Islam,offensive,"Arab, Islam",offensive
27478936_gab,jews will holocaust one of their own if its good for the jews bye bye jew tommy,2,hatespeech,Jewish,offensive,Jewish,hatespeech,Jewish,hatespeech
1142522499831226368_twitter,got into my first car accident 🙄 a bitch was shook,3,offensive,Women,offensive,Women,offensive,Women,offensive
20820201_gab,and trump loves it he is a kike puppet,3,hatespeech,Jewish,hatespeech,Jewish,hatespeech,Jewish,hatespeech
1179072076801462273_twitter,being a moslem javanese living in java is indonesia version of white people getting the best access to basically everything in the us,0,normal,,normal,,normal,,normal
1179084776243945472_twitter,like i am not an autumn 🍂 🥰 faggot but i do want to go apple picking to flex my knowledge of apples and to reconnect with the trees so someone hmu,0,normal,,normal,,hatespeech,Homosexual,normal
1178957335689138177_twitter,why do women care so much about being on the same level as men when men actually do not give f**k <censored> need some education here,0,normal,,normal,,normal,,normal
13110575_gab,lock her up indefinitely in cells filled with the mudslime rapefugees she is demanding her father import to the us,3,hatespeech,Refugee,hatespeech,"Refugee, Islam, Women",hatespeech,Arab,hatespeech
1100177318356619265_twitter,this was the worst thing you could have done to me and i hate you for it,0,hatespeech,,normal,,normal,,normal
21158602_gab,as much i would like it to be true graphic lurid and clear i am fucked if i would like to see pant suit barby without the pant suit the sand n-word possibly but only out of curiosity releasethevideo,2,offensive,Arab,offensive,African,hatespeech,Islam,offensive
15977167_gab,diversity means getting shot by blacks raped by mexicans blown up by arabs and shitty customer service from indians,2,hatespeech,"African, Arab, Hispanic",hatespeech,"African, Arab, Hispanic, Other",hatespeech,"African, Arab, Hispanic",hatespeech
1092081619593252864_twitter,bad lil bitch good brain go to college,3,offensive,Women,offensive,Women,offensive,Women,offensive
1178706099786190850_twitter,i really be wanting these n-word to know i am not the guh for queer baiting,0,normal,Homosexual,offensive,Homosexual,normal,,normal
17987563_gab,indeed hud forcing things makes for unnatural movements that said cant go to the projects model that very clearly does not work you cant make a poverty desert and expect violence to go down so what the solution here serious question,0,normal,,normal,,normal,,normal
19332653_gab,rotherham is the trigger for the world whites allowing the rape of white children by paki muslims and covered up for diversity means many mps councillors police should be swinging from a rope and any fucked up media rep who refuses to see the truth,0,normal,,normal,,normal,,normal
1088890307884838918_twitter,i raped david cameron because it sneezed at me on minecraft,0,normal,,normal,,normal,,normal
21838010_gab,i did not say anything about doing something illegal i repeatedly asked the guy if he was ever planning on doing an event irl he assumed i meant shooting shit up he responded with you are a kike and a shill before blocking me,2,hatespeech,Jewish,hatespeech,Jewish,normal,Jewish,hatespeech
1179051449541480453_twitter,daily <number> women are raped in nepal everyday the same land were women are worshipped as goddess 😢 😑 peace,0,normal,,normal,,normal,,normal
16850498_gab,yet when a n-word was made good on the north side his fellow simians literally camped out on the lawn of the 4 th precinct for weeks,2,offensive,African,hatespeech,African,hatespeech,African,hatespeech
1212081965643583489_twitter,is sucking your own dick gay i ' m not asking for myself,2,offensive,"Homosexual, Men",normal,,offensive,Homosexual,offensive
1162565308663644161_twitter,eight inch big ooh that good pipe bad bitch i ama ride the dick all night,0,normal,Women,normal,,normal,,normal
12182094_gab,idris elba starring in a date movie for coalburners with kate winslet does this filth ever just star in normal movies or play normal roles seems like every one is a political statement against white people,0,hatespeech,"African, Caucasian",offensive,African,normal,,hatespeech
22862647_gab,what sean low t really meant was my wife boyfriend church and by having a blast he really meant the sand n-word were blowing up his wife children,2,hatespeech,Arab,hatespeech,"African, Arab, Men",hatespeech,Islam,hatespeech
9000541_gab,seems the london muzzies get a taste of their own medicine finsbury park,3,offensive,Islam,offensive,Islam,offensive,Islam,offensive
4882319_gab,let us not forget coke ceo is a mudslime and the pepsi one slandered trump have not purchased the products since,3,offensive,Arab,offensive,Islam,hatespeech,Islam,offensive
1142870341846536192_twitter,lmaoaao bitch stop trying to be relevant and move tf on hoe,3,offensive,Women,offensive,Women,offensive,Women,offensive
1171661642561728513_twitter,twomad was having too much fun in overwatch he said live on stream hola my n-word,0,hatespeech,African,normal,African,normal,,normal
27781574_gab,rare photo of the gunmen before fleeing the scene also adios n-word ahaha,3,hatespeech,African,hatespeech,African,hatespeech,African,hatespeech
26425802_gab,lol tell ur based mulatto grandson i said hi faggot,2,hatespeech,"Homosexual, African",hatespeech,"Homosexual, African",hatespeech,"Homosexual, African, Caucasian",hatespeech
1869226_gab,ok watching the kelly bitch on fox showing the altright group some members giving the salute exposure red pill baby <number>,0,normal,,hatespeech,Women,offensive,Caucasian,normal
1179054349517021185_twitter,mm o no hollywood ever n-word treater,3,hatespeech,"African, Women",hatespeech,African,hatespeech,African,hatespeech
11700238_gab,daca in a nutshell fake heroes using illegal immigrants to virtue signal about how unracist they are while purposely omitting the legal ways to become a citizen as a legal haitian american i fully support ending daca,0,offensive,Refugee,normal,Refugee,normal,Refugee,normal
1178881031136403456_twitter,lrt the loud white dude is a fucking fed right like no fucking question,0,normal,,normal,,normal,,normal
13028314_gab,the choice facing western women is not the burka or the brothel but the clitorectomy or the cloister whitesharia,2,normal,Women,hatespeech,Islam,hatespeech,Islam,hatespeech
24385048_gab,sees white decline what have i done,0,normal,Caucasian,normal,Caucasian,normal,Caucasian,normal
17699522_gab,yeh rsi is low macd hanging around <number> bull hammers i do not see it dropping below <number> anytime soon it just waiting to pop question is when maybe i will shill it on biz and see what happens appc in case anyone is retarded and does not know what we are talking about,2,offensive,,offensive,Other,offensive,,offensive
16672566_gab,japan does not have the problem of moslem terrorists rape gangs or negro gangsters ruining their country,3,offensive,"African, Islam",hatespeech,"African, Islam",hatespeech,African,hatespeech
8050276_gab,it true if i am a moderate muzzy and do not stand against the extremists within my religion i am a worthless dog who deserves the title of muzzy terrorist period,2,hatespeech,Islam,hatespeech,Islam,hatespeech,Islam,hatespeech
16129041_gab,shuttener of kike banks,3,hatespeech,Jewish,hatespeech,Jewish,hatespeech,Jewish,hatespeech
10156663_gab,how about <number> what kind of muslim if not already dead really qualifies as refugee,0,offensive,Islam,hatespeech,"Arab, Islam, Refugee",normal,,offensive
27406915_gab,as for jews revenge is the only answer i blame modern christianity for this cuck mentality turn the other cheek must end the jews have flooded our countries with invaders to rape our daughters our people used to live for conquer and revenge its time to rekindle the fire <number>,2,normal,,hatespeech,Jewish,hatespeech,Jewish,hatespeech
27997868_gab,assuming we are on the same side edgy morons like yourself are the enemy have fun alienating people who do not worship your kike on a stick,3,hatespeech,Jewish,offensive,Other,hatespeech,Jewish,hatespeech
1178839564435234818_twitter,since i been at this school you n-word have never not complained about the homecoming artist give it up,0,normal,African,offensive,African,normal,,normal
1178629960837275649_twitter,i hate these faggots 🤷 🏾 ‍ ♂️,3,hatespeech,Homosexual,hatespeech,Homosexual,hatespeech,Homosexual,hatespeech
19457594_gab,criminal in chief his new moniker from bendover and ghetto mouse,2,offensive,Other,offensive,African,hatespeech,Jewish,offensive
3426717_gab,considering many europeans have now been raped and killed horriby by islamic hoardes i wonder what the media reaction when the backlash comes it is bound to happen no doubt they will condemn it as a white nazi hate crime and come down hard on anyone critical of islam banislam,2,hatespeech,Caucasian,hatespeech,"Arab, Islam, Men, Women, Refugee",offensive,"Arab, Islam",hatespeech
5317564_gab,i want to know what the refugees have been told about where they are going my suspicion is that soros filled their heads with fake news of free houses free money fresh new mosques and blonde infidel women just waiting to help them in times of sexual emergency politics news,0,hatespeech,Refugee,normal,"Women, Refugee",offensive,Refugee,hatespeech
21349337_gab,just me this is america we have enough to handle right now i love these people demanding things in america islam demands jews demand no americans will end islam they know it is coming wow,2,normal,,offensive,"Islam, Jewish",offensive,"Islam, Jewish",offensive
4582509_gab,you invited sandnigger child rapng muzzies into your home and you are still allowed custody of your own children,0,normal,Islam,hatespeech,"Arab, Islam, Men, Women",offensive,Islam,normal
13363113_gab,n-word kike spic chink faggot pussy cunt bitch sandnigger jap nip leaf fuck shit crap queer jews aa,2,hatespeech,"African, Arab, Jewish",offensive,"Homosexual, African, Arab, Asian, Hispanic, Jewish",hatespeech,"Homosexual, African, Arab, Hispanic, Jewish",hatespeech
18721090_gab,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,3,hatespeech,Arab,offensive,Islam,hatespeech,Islam,hatespeech
21530730_gab,i see the future of britain as being a wasteland of ancient molten nuclear reactors and mutated arabs running around on camel legs if they have not been eaten by the metre long dire squirrels,2,offensive,Arab,hatespeech,Arab,hatespeech,Islam,hatespeech
21692203_gab,islam is a religion full of paedophiles and thick as shit sand n-word,2,hatespeech,"African, Arab, Islam",hatespeech,"Arab, Islam",hatespeech,"Arab, Islam",hatespeech
12167695_gab,even worse i have read comments defending this vid stating the message is anti violence against all stfu with that noise,2,offensive,,offensive,,normal,,offensive
1090426127804522496_twitter,i ain t got no type n-word like a dyke n-word ion like n-word these shells bigger than shark teeth take a chunk out it ll bite n-word,0,normal,,normal,,offensive,African,normal
1226205386769911808_twitter,abusite in your bio you getting block since you love being ghetto 🤢 🤢 🤢 🤢 🤢,0,offensive,Other,normal,,normal,,normal
4975691_gab,if the moderate liberal left will not denounce violence created by far left anarchists who have attached their band wagon to the progressive platform they deserve everything they get when violence is all you have left you have lost the argument riotingisdomesticterrorism,0,normal,,offensive,Other,normal,"Men, Women",normal
1178762932198481922_twitter,fat n-word with dreads be looking like big ass dykes,3,offensive,"African, Homosexual",offensive,Homosexual,offensive,Homosexual,offensive
23161127_gab,they are basically males who have been rejected by women or they had a bad example of a mother and they think all women must be the same way they are low iq males if anything they are doing a favor to humanity for not breeding and spreading their inferior seed,2,offensive,Men,offensive,Men,offensive,Heterosexual,offensive
8064440_gab,fucking ass eaters with whole cities full of coons and you think britan has a problem detroit is a shithole fix your shit up yankee,3,offensive,African,hatespeech,African,hatespeech,Indigenous,hatespeech
21716968_gab,why was that muzrat pos in austin who vetted him,2,hatespeech,Islam,hatespeech,Arab,normal,,hatespeech
11200659_gab,i am sure you are totally the alpha faggot at the standard fuckparties,2,offensive,Other,hatespeech,Homosexual,offensive,Homosexual,offensive
22188456_gab,i have no idea why anyone would care about jereb whoever that is the adl on the other hand is a large and well armed force completely loyal to jews and only jews that has almost completely undermined white america the only america and must be destroyed,2,hatespeech,Jewish,normal,,hatespeech,Jewish,hatespeech
20327507_gab,did you know that whitegenocide requires helping jews put restrictions in the second ammendment,2,hatespeech,Jewish,hatespeech,"Caucasian, Jewish",offensive,Jewish,hatespeech
1178773740252995586_twitter,white bitches can not tell the difference between cornrows and braids,3,offensive,Caucasian,offensive,"Women, Caucasian",offensive,"Women, Other, Caucasian, Nonreligious, Other",offensive
15337378_gab,potus trump the master strategist is skillfully letting all the leftie moslem supporting traitors out themselves whilst they also show how anti christian european usa white they all are trump is playing them like a piano while he laughs his head off go trump go trump go usa go usa bluehand,3,hatespeech,Islam,hatespeech,Islam,hatespeech,Islam,hatespeech
23083459_gab,if white people should be ashamed for our forfathers slavery then why do arabs get a free pass they are still doing it,2,offensive,"Arab, Caucasian",offensive,"Arab, Islam, Men, Women",offensive,Islam,offensive
9507112_gab,just shoot the bitch then she can come back,2,hatespeech,Women,offensive,Women,hatespeech,Women,hatespeech
1082770541537308672_twitter,mango orange and champagne oysters with pink salt and black pepper,0,normal,,normal,,normal,,normal
1179053050561888256_twitter,if so which bitch dared to lay a finger on him,2,offensive,Women,offensive,Women,normal,,offensive
12589613_gab,it seems that the whole blm movement boomeranged on blacks in the ghettos ytd in <number> homicides in chicago are down from the same period in <number> but are still way up from the same time period in <number>,0,offensive,Other,normal,African,normal,,normal
26426536_gab,<number> gay the rules of mathematics can not contain me,0,offensive,Homosexual,normal,,normal,,normal
20692960_gab,he loves his daughter more than himself doubt he endangers his grandkids yet yid marries his daughter doubt accidentally yids prepared to stub trump from inside they knew that opposition was preparing him for the last <number> years to overthrow order i think for his daughter he would cave in,3,offensive,Jewish,offensive,Islam,hatespeech,Jewish,offensive
14057110_gab,<number> uk mps involved in the cover up of <number> million white children raped by paki muslims resign all of you filthy bastards,3,offensive,"Caucasian, Islam",hatespeech,Other,hatespeech,Islam,hatespeech
13284688_gab,soon you will be thrown in jail for giving some rag head moslem bitch a funny look or not giving her your seat on the bus,2,hatespeech,Islam,offensive,"Islam, Other",offensive,Islam,offensive
13640701_gab,of all the women coming forward lately to accuse prominent men of sexual harassment or rape this woman has to be the bravest thus far,0,normal,"Men, Women",normal,Women,normal,,normal
22672128_gab,i am not surprised thousands of <number> iq sand n-word lack the intelligence to understand what a malthusian trap is i look forward to the days when egyptian arabs have to resort to slaughtering millions of n-word just so they have enough fresh water to drink,2,hatespeech,"African, Arab",offensive,"African, Arab, Islam",hatespeech,"African, Arab",hatespeech
1087775382177230848_twitter,ho busy hore ka zounung tse tonight makgoa on their balcony motho with the jams a child hoeletsing ho matasa,0,normal,,normal,,normal,,normal
1246071447644143617_twitter,lol now im worried i will post my dressing up as bts albums pics and someone is gonna bash me for being muslim and posting my outfit,2,offensive,Islam,offensive,,normal,Islam,offensive
9844016_gab,gas all n-word jews the world over presto most if not all racism ends,2,hatespeech,"African, Jewish, Men, Women",hatespeech,"African, Jewish",hatespeech,"African, Jewish",hatespeech
14441243_gab,stfu up woman stop larping with your lame ass reposting account no one likes mexicans you are only slightly above a n-word and below a jew,3,offensive,"Hispanic, Jewish",offensive,"Women, African, Jewish",hatespeech,"African, Jewish, Hispanic",offensive
14269466_gab,ffs people do unto others does not let foreigners and n-word come to your country and screw your daughters,2,hatespeech,"African, Men, Women",hatespeech,"African, Refugee",hatespeech,"African, Refugee",hatespeech
1179033597312790528_twitter,<number> minutes to be a faggot,3,offensive,Homosexual,offensive,Homosexual,offensive,Homosexual,offensive
26699755_gab,you cant either pussy all talk no action threats accusations hypocrisy and cowardice typical kike rat,3,offensive,Arab,hatespeech,Jewish,hatespeech,Jewish,hatespeech
6144966_gab,right away the n-word goes to muh dik should be legal to decorate the city lampposts with these stupid animals,3,hatespeech,African,hatespeech,African,hatespeech,African,hatespeech
1178807678249918464_twitter,definition from fr muslim this from persian mosolmān or moslemān pl of moslem and this of the ar clás muslim <number> adj who professes islamism ‖ religion of muhammad u t c <number> adj,0,normal,,normal,,normal,,normal
27550280_gab,tds <number> i do not think i have heard such retarded bullshit since <number>,2,offensive,,offensive,,normal,,offensive
1178110624905224192_twitter,shoutout to all the dykes out here still fucking n-word,3,offensive,Homosexual,hatespeech,African,hatespeech,"African, Homosexual",hatespeech
17728508_gab,hahaha no wonder they would like to x him in any way they can lol he is undoing all obummers treasonous moves wonder how many muzzies will deport themselves and not opt to go to the us watch out dearborn mi,3,offensive,"Other, Islam",offensive,Islam,hatespeech,Islam,offensive
26054970_gab,i can see that violence against tv broadcast stations is going to necessarily skyrocket,0,normal,,normal,,offensive,Other,normal
15632048_gab,a random ghetto spongebob meme <number> u,2,offensive,"Heterosexual, African, Christian, Men, None",normal,,offensive,African,offensive
1163262808835985408_twitter,gotham city villains have weird taste in men and women,0,normal,,normal,,normal,,normal
17681514_gab,off to a funeral n-word my cousin was killed by a n-word right after christmas it never ends with you animals,3,hatespeech,African,hatespeech,African,hatespeech,African,hatespeech
2395752_gab,the taiwan call wasn t just an unintentional blunder as first reported by our unimaginative lardass punditry the washington post yeah i know is reporting that the call had been coordinated for some time it was the first message sent to the chicoms that there a new sheriff in town,0,normal,,normal,,normal,,normal
1090787488044670977_twitter,having hoes is a sport dominated by females,3,offensive,Women,offensive,Women,offensive,Women,offensive
9873480_gab,there are white people there at the end dressed in antifa outfits fighting other contingent of whites the police they fight to let in more global refuse overflow so there can be even less whites i also noted a mudshark at the start a middle aged gay couple in the middle and the odd stray white,3,hatespeech,"Other, Caucasian, Homosexual, Women, African, Refugee",offensive,Other,hatespeech,"Other, Homosexual",hatespeech
22358188_gab,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,3,hatespeech,Islam,offensive,Islam,hatespeech,Islam,hatespeech
22025922_gab,not hard to understand why canadian asians are up in arms over calling moslem pedophiles asian,3,hatespeech,Islam,offensive,Other,offensive,Islam,offensive
1178454688716460033_twitter,ugh all the n-word are back on campus,3,hatespeech,African,hatespeech,African,hatespeech,African,hatespeech
23840294_gab,precinct and campaign meetings will confirm that it is only whites who hold any ideals about government non whites want free govt cheese and jews are crazy for power,2,offensive,"Jewish, None",offensive,"African, Arab, Hispanic, Jewish, Other",hatespeech,"African, Arab, Asian, Hispanic, Jewish",offensive
14263294_gab,they mostly help niglets with cancer so fuck em mr taylor does more to help white kids than anyone else ive seen 😎,3,hatespeech,African,offensive,African,hatespeech,African,hatespeech
1178774334833340416_twitter,lmao fuck you n-word,3,hatespeech,African,hatespeech,African,hatespeech,African,hatespeech
1179105028918910983_twitter,wanna be my main slut you gotta eat up eat up wanna be my sweet love but you is not anita,2,normal,,offensive,Women,offensive,Women,offensive
1178806104739983361_twitter,i love boom booms too faggots,3,offensive,Homosexual,hatespeech,Homosexual,offensive,Homosexual,offensive
26616013_gab,the black demographic is breaking free of the ghetto plantation and this is why the democrats are going after illegals who are easily manipulated,0,hatespeech,African,normal,"African, Refugee, None",offensive,African,hatespeech
22084298_gab,the attention whore will kill canadians just to gain a seat on the moslem run un,3,hatespeech,Women,hatespeech,Islam,hatespeech,"Islam, Women",hatespeech
1110220889688145921_twitter,faggot so gay dyke no homo,2,offensive,Homosexual,hatespeech,"Homosexual, Men, Women",offensive,"Homosexual, Men, Women",offensive
1178608735373189120_twitter,if you all were not so selective with your understanding maybe you would realize this issue has nothing to do with religion there are many other muslim countries they could perform in,0,normal,,normal,,normal,,normal
1178698944047652866_twitter,dust bunny women who habitually dates sympathizes with dusties snow bunny white women who pretend to be submissive to lock down a negro hoteptress sister soldier good enough to mule but not valued enough to marry black queen,2,hatespeech,Women,hatespeech,"Other, African, Caucasian",normal,,hatespeech
25847294_gab,a foreign n-word is lord mayor of sheffield,3,hatespeech,"Refugee, Arab",offensive,African,hatespeech,African,hatespeech
11346049_gab,so <number> mil whites did not suffer even though they were enslaved and treated in the most barbaric inhumane ways imaginable are you retarded or something using your logic then blacks did not ultimately end up suffering because the black warlords who sold other blacks <number> jews profited handsomely,2,normal,Other,hatespeech,"African, Other",hatespeech,"African, Other",hatespeech
1178783381934526465_twitter,sabine wren is a raging queer,0,normal,,normal,Homosexual,offensive,"Women, Indigenous, Caucasian, Nonreligious, Homosexual",normal
1185219554068369408_twitter,bitches b weird bro,2,offensive,Women,normal,,offensive,Women,offensive
3224609_gab,when your government is more concerned with not hurting illegal immigrants sensibilities than protecting your person family or property from said immigrants you do not have a government your have an enemy,2,offensive,Refugee,offensive,Refugee,offensive,Refugee,offensive
1159278127778029568_twitter,idk why these negros with children keep trying to talk to me and get mad when i say i ' m not interested bc they have kids lol,0,normal,,hatespeech,African,normal,African,normal
1178761606588710919_twitter,werner herzog voice the goose is our animalistic self taking retribution on our consciousness for the extreme violence it is complicit in committing to the natural world,0,normal,,normal,,normal,,normal
21129548_gab,getting ass raped by a muzzie sargon have you even read john locke,3,offensive,Arab,offensive,Islam,offensive,Islam,offensive
18352124_gab,token astronauts jeanette epps negress replaced with mexican chic x feed the fish sally ride lesbian quota affirmative action segregation hbcu,3,offensive,African,offensive,"Women, African",hatespeech,"African, Women, Homosexual",offensive
19923814_gab,what is the point of being a n-word if you can not act like one,3,offensive,Arab,offensive,African,offensive,African,offensive
1117942322304573440_twitter,white boys b flexing their pics of them and a fish like we supposed to swoon over that shit,0,normal,,normal,,normal,,normal
21826700_gab,yeah well nehlen has been marked for bullycide and i dont trust his fucking kike director enough to help on that one i read his timeline and its fucking sleazy and smells like a jew rat number <number> rule on anything is no jews,2,hatespeech,Jewish,hatespeech,Jewish,offensive,Jewish,hatespeech
16951792_gab,twatter is dominated by the regressive left who deal in emotion not logic multiculturalism is a cancer that has brought down civilizations throughout history on gab it okay to be white and okay to speak freely,2,offensive,,offensive,"African, Arab, Asian, Hispanic, Buddhism, Hindu, Islam, Jewish",offensive,,offensive
11138092_gab,if they are not white they have to go back start with those on social security pensions,2,hatespeech,Refugee,normal,Caucasian,hatespeech,Refugee,hatespeech
1178956701233483778_twitter,qatar has the death penalty for homosexual activity but at the same time there are no recorded cases of executions for it which pretty much exemplifies the state of law in the middle east in theory everything is prohibited in reality most things are not,0,normal,,normal,,normal,,normal
17016310_gab,not once have you refuted my arguments you ran from the debate like the faggot you are i stole your dinner money gave you a wedgie and stuffed you in your own locker 🐸,2,offensive,Homosexual,offensive,Homosexual,offensive,Homosexual,offensive
24467994_gab,lol black people will listen to kanye over all of these retarded news agencies especially if he makes a shitty rap album covering his thoughts hahahahahaha,2,normal,,offensive,African,offensive,African,offensive
11684884_gab,i am a lying faggot that moves the goal post,2,offensive,Homosexual,offensive,Homosexual,offensive,Homosexual,offensive
1179057379079380992_twitter,no more of this madness i shall take refugee in a bottle,0,normal,,normal,,normal,,normal
8211378_gab,this woman needs to just go away i am so sick of her loser bullshit ghetto mafia she is pond scum it is an honor to be deplorable in comparison to these people,2,offensive,Women,offensive,"African, Women",hatespeech,Women,offensive
1193959291838971907_twitter,today quote from my very gay partner i forgot men could have girlfriends,0,normal,Heterosexual,normal,Homosexual,normal,Men,normal
1178921953161355266_twitter,muz listens to his her sheikhs worthless personal opinions about islam and assumes he she knows everything about islam you criticize islam also muz have you read the quran have you read it in arabic have you read it in ancient quraishi dialect,0,normal,Islam,normal,,hatespeech,Islam,normal
1125801698872692736_twitter,i guess it really doesn ' t matter what sign or what placements a man has they all retarded 😕,2,offensive,Men,hatespeech,Men,offensive,Other,offensive
13210523_gab,i wonder how many illegal immigrants will still seek sanctuary in california lol,2,offensive,Refugee,offensive,Refugee,offensive,Refugee,offensive
1181346131122348032_twitter,lmao that lil muslim rep was cheating on her hubby the whole time with multiple people involved in her political journey 😂,0,normal,,normal,,normal,,normal
16375011_gab,technically she is a traitor to america she is trying to get passed sharia law which is in complete violation of our constitution she should now be either imprisoned and then deported to mussie world or just deported,3,offensive,Islam,offensive,Islam,hatespeech,"Refugee, Islam",offensive
14538867_gab,teaching men not to rape is a meme that pisses me off and it has some women so scared of men they think they are going to be gang raped at any moment at any place,2,offensive,,offensive,Other,offensive,Women,offensive
1074137_gab,ethic of universal brotherhood encourages christians to welcome refugees and break down national borders but this is new could be combination of said ethic with loosely defined modern nation state weakening local solidarity openness to whole world was unimaginable to medieval europeans maga,0,normal,,offensive,,normal,,normal
14524707_gab,moslim eunuchs were sent as ambassadors to the timurids,0,normal,,normal,,normal,,normal
19629384_gab,no most people do not want war as long as there are jews there will be wars for profit and to kill good white men,2,hatespeech,"Jewish, Men, Women",offensive,Jewish,offensive,Jewish,offensive
21524615_gab,london has a muzzie goathumper for mayor sad dick khan they have a terrible moron for pm theresa dis may they have had muzzies cut the heads off of people in their streets soon big ben will be a minaret and buckingham palace will be a mosque,3,offensive,Islam,hatespeech,Islam,hatespeech,Islam,hatespeech
11180809_gab,yet another sand n-word heard from,3,offensive,Arab,hatespeech,"Other, Arab",hatespeech,Arab,hatespeech
12593052_gab,best comment in the og thread feminism is needed nowadays it flags undatable and crazy women so the world can avoid them more easily,2,offensive,Women,offensive,Women,normal,Women,offensive
12192046_gab,jesus never met a chinaman,0,hatespeech,"Asian, Christian",normal,,normal,Christian,normal
14372112_gab,silly autistic asians,2,offensive,Asian,hatespeech,Asian,hatespeech,"Asian, Other",hatespeech
